fecha,bbox0,bbox1,bbox2,bbox3,bbox4,bbox5,bbox6,bbox7,bbox8,bbox9,bbox10,bbox11,bbox12,bbox13,bbox14,bbox15,bbox16,bbox17,bbox18,bbox19,bbox20,bbox21,bbox22,bbox23,bbox24,bbox25,bbox26,bbox27,bbox28,bbox29,bbox30,bbox31,bbox32,bbox33,bbox34,bbox35,bbox36,bbox37,bbox38,bbox39,bbox40,bbox41,bbox42,bbox43,bbox44,bbox45,bbox46,bbox47,bbox48,bbox49,bbox50,bbox51,bbox52,bbox53,bbox54,bbox55,bbox56,bbox57,bbox58,bbox59,bbox60,bbox61,bbox62,bbox63,bbox64,bbox65,bbox66,bbox67,bbox68,bbox69,bbox70,bbox71,bbox72,bbox73,bbox74,bbox75,bbox76,bbox77,bbox78,bbox79,bbox80,bbox81,bbox82,bbox83,bbox84,bbox85,bbox86,bbox87,bbox88,bbox89,bbox90,bbox91,bbox92,bbox93,bbox94,bbox95,bbox96,bbox97,bbox98,bbox99,bbox100,bbox101,bbox102,bbox103,bbox104,bbox105,bbox106,bbox107,bbox108,bbox109,bbox110,bbox111,bbox112,bbox113,bbox114,bbox115,bbox116,bbox117,bbox118,bbox119,bbox120,bbox121,bbox122,bbox123,bbox124,bbox125,bbox126,bbox127,bbox128,bbox129,bbox130,bbox131,bbox132,bbox133,bbox134,bbox135,bbox136,bbox137,bbox138,bbox139,bbox140,bbox141,bbox142,bbox143,bbox144,bbox145,bbox146,bbox147,bbox148,bbox149,bbox150,bbox151,bbox152,bbox153,bbox154,bbox155,bbox156,bbox157,bbox158,bbox159,bbox160,bbox161,bbox162,bbox163,bbox164,bbox165,bbox166,bbox167,bbox168,bbox169,bbox170,bbox171,bbox172,bbox173,bbox174,bbox175,bbox176,bbox177,bbox178,bbox179,bbox180,bbox181,bbox182,bbox183,bbox184,bbox185,bbox186,bbox187,bbox188,bbox189,bbox190,bbox191,bbox192,bbox193,bbox194
2019-01-01,1,0,43,1,0,0,1,27,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,10,0,0,0,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,4,1,6,0,0,0,0,0,3,0,6,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,23,0,0,4,0,9,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,4,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,36,3,1,0,0,0,0,8,0,0
2019-01-02,0,0,62,0,0,0,0,36,0,0,0,0,0,0,0,10,0,0,1,3,0,0,0,6,0,0,0,9,1,10,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,19,0,0,0,0,3,9,1,7,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,29,3,0,4,0,7,0,0,1,1,1,0,1,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,60,0,0,0,0,0,0,26,0,0
2019-01-03,1,0,67,1,0,0,0,42,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,9,3,0,0,7,2,0,0,2,0,0,1,0,0,1,3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,8,0,1,0,0,2,12,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,21,2,0,4,0,7,0,0,1,0,0,0,5,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,89,0,0,0,0,0,0,22,0,0
2019-01-04,1,0,64,0,0,0,0,22,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,1,11,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,16,0,0,0,0,1,25,0,8,5,0,2,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,25,2,1,5,0,12,0,0,1,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,8,1,0,0,0,58,3,0,0,0,0,1,23,1,0
2019-01-05,3,0,83,0,0,0,0,20,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,5,2,0,0,11,0,8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,5,0,18,0,0,0,0,1,17,0,5,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,2,1,0,5,0,0,0,0,0,2,1,0,0,0,0,0,1,14,2,0,4,1,11,0,0,3,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,9,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,26,0,0,0,0,33,6,0,1,1,0,8,18,0,0
2019-01-06,3,0,71,0,0,0,0,12,0,2,0,0,0,1,0,9,0,0,0,0,0,0,0,9,0,0,0,11,25,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,23,0,0,0,0,0,0,1,1,11,0,0,0,0,1,16,0,9,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,2,0,1,0,0,0,0,0,25,2,0,2,0,13,0,0,0,0,0,0,10,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,1,1,0,1,0,0,7,1,0,0,0,0,0,1,0,1,4,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,13,0,0,0,0,48,7,0,0,0,0,1,35,0,0
2019-01-07,0,0,72,1,0,0,0,31,0,1,0,0,0,0,0,14,0,0,1,0,0,0,0,5,0,0,0,9,14,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,0,12,0,0,1,0,1,18,2,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,1,2,0,10,0,0,0,1,0,0,7,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,1,0,2,0,0,1,0,0,2,1,0,0,0,1,0,4,0,0,1,0,36,1,0,0,0,1,0,25,4,0
2019-01-08,1,0,81,0,0,0,0,42,0,2,0,0,0,0,0,10,0,1,0,0,0,0,0,7,1,0,0,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,0,6,0,18,0,0,0,0,0,18,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,29,0,0,6,0,14,0,0,1,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,6,0,1,0,4,0,0,0,0,0,0,1,0,0,1,0,0,9,1,1,0,0,38,5,0,0,0,0,0,15,0,0
2019-01-09,0,0,85,1,0,0,0,18,1,1,0,0,0,0,0,7,0,1,0,0,0,0,0,9,0,0,0,11,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0,0,0,0,0,8,0,18,0,0,0,0,0,25,3,25,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,6,0,8,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,41,1,0,0,0,0,0,15,0,0
2019-01-10,2,0,54,0,0,0,0,28,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,0,7,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,15,0,8,0,0,0,0,0,16,0,21,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,1,0,0,0,1,0,29,0,0,2,0,11,0,0,0,0,0,0,4,0,1,1,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,2,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,1,0,31,4,0,0,0,0,1,11,0,0
