new_cluster_id,coordinates
0,"[[[-93.0116667, 31.638], [-93.0116667, 40.1745], [-86.8227, 40.1745], [-86.8227, 31.638], [-93.0116667, 31.638]]]"
1,"[[[95.7805, 30.9934], [95.7805, 37.452], [101.7533, 37.452], [101.7533, 30.9934], [95.7805, 30.9934]]]"
2,"[[[-154.0808, 59.5494], [-154.0808, 66.0808], [-148.7241, 66.0808], [-148.7241, 59.5494], [-154.0808, 59.5494]]]"
3,"[[[119.1459, -12.3434], [119.1459, -4.0981], [123.1998, -4.0981], [123.1998, -12.3434], [119.1459, -12.3434]]]"
4,"[[[-87.8288, 8.8309], [-87.8288, 12.8878], [-82.8466, 12.8878], [-82.8466, 8.8309], [-87.8288, 8.8309]]]"
5,"[[[80.785, 39.5686], [80.785, 43.9835], [84.7163, 43.9835], [84.7163, 39.5686], [80.785, 39.5686]]]"
6,"[[[8.9959, 41.8207], [8.9959, 47.6057], [13.9813, 47.6057], [13.9813, 41.8207], [8.9959, 41.8207]]]"
7,"[[[-120.7385, 36.1603333], [-120.7385, 42.749833333], [-115.9281, 42.749833333], [-115.9281, 36.1603333], [-120.7385, 36.1603333]]]"
8,"[[[89.2382, 0.5049], [89.2382, 5.5348], [98.2137, 5.5348], [98.2137, 0.5049], [89.2382, 0.5049]]]"
9,"[[[126.9425, -9.7384], [126.9425, -4.8881], [133.5773, -4.8881], [133.5773, -9.7384], [126.9425, -9.7384]]]"
10,"[[[169.6418, -18.0617], [169.6418, -12.6323], [175.1162, -12.6323], [175.1162, -18.0617], [169.6418, -18.0617]]]"
11,"[[[83.5923, 25.1564], [83.5923, 31.723], [90.3069, 31.723], [90.3069, 25.1564], [83.5923, 25.1564]]]"
12,"[[[-83.2655, 35.4458333], [-83.2655, 38.92], [-77.515333333, 38.92], [-77.515333333, 35.4458333], [-83.2655, 35.4458333]]]"
13,"[[[75.0811, 37.4844], [75.0811, 43.2308], [80.5026, 43.2308], [80.5026, 37.4844], [75.0811, 37.4844]]]"
14,"[[[60.8744, 23.0702], [60.8744, 29.7493], [68.4329, 29.7493], [68.4329, 23.0702], [60.8744, 23.0702]]]"
15,"[[[-158.551833333, 17.884166667], [-158.551833333, 22.1032], [-152.8788333, 22.1032], [-152.8788333, 17.884166667], [-158.551833333, 17.884166667]]]"
16,"[[[-130.9343, 41.3401], [-130.9343, 51.5327], [-124.861166667, 51.5327], [-124.861166667, 41.3401], [-130.9343, 41.3401]]]"
17,"[[[119.2537, 16.5513], [119.2537, 21.6707], [123.5674, 21.6707], [123.5674, 16.5513], [119.2537, 16.5513]]]"
18,"[[[-72.3317, -28.6734], [-72.3317, -23.363], [-68.002, -23.363], [-68.002, -28.6734], [-72.3317, -28.6734]]]"
19,"[[[-175.9268, 61.0601], [-175.9268, 67.9457], [-169.0283, 67.9457], [-169.0283, 61.0601], [-175.9268, 61.0601]]]"
20,"[[[95.83, -1.9127], [95.83, 3.4658], [101.3782, 3.4658], [101.3782, -1.9127], [95.83, -1.9127]]]"
21,"[[[-130.9343, 41.3401], [-130.9343, 51.5327], [-124.861166667, 51.5327], [-124.861166667, 41.3401], [-130.9343, 41.3401]]]"
22,"[[[34.0556, 36.9819], [34.0556, 41.5217], [40.4563, 41.5217], [40.4563, 36.9819], [34.0556, 36.9819]]]"
